Organisation,Launch Pad,Launch Center,Launch State,Launch Country,Month,Year
Arianespace,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Mar,2020
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Mar,2020
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Mar,2020
CASC,LC-201,Wenchang Satellite Launch Center,,China,Mar,2020
CASC,LC-2,Xichang Satellite Launch Center,,China,Mar,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,2020
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Feb,2020
CASC,LC-3,Xichang Satellite Launch Center,,China,Feb,2020
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Feb,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Feb,2020
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Feb,2020
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Feb,2020
ISA,Imam Khomeini Spaceport,Semnan Space Center,,Iran,Feb,2020
MHI,LA-Y1,Tanegashima Space Center,,Japan,Feb,2020
Arianespace,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Feb,2020
Rocket Lab,Rocket Lab LC-1A,M?hia Peninsula,,New Zealand,Jan,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jan,2020
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Jan,2020
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Jan,2020
ExPace,Site 95,Jiuquan Satellite Launch Center,,China,Jan,2020
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Jan,2020
CASC,LC-2,Xichang Satellite Launch Center,,China,Jan,2020
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jan,2020
CASC,LC-101,Wenchang Satellite Launch Center,,China,Dec,2019
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,Dec,2019
Roscosmos,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Dec,2019
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Dec,2019
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Dec,2019
Arianespace,ELS,Guiana Space Centre,French Guiana,France,Dec,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,2019
CASC,LC-3,Xichang Satellite Launch Center,,China,Dec,2019
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Dec,2019
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Dec,2019
VKS RF,Site 43/3,Plesetsk Cosmodrome,,Russia,Dec,2019
ExPace,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Dec,2019
ExPace,Taiyuan Satellite Launch Center,China,,,Dec,2019
Roscosmos,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Dec,2019
Rocket Lab,Rocket Lab LC-1A,M?hia Peninsula,,New Zealand,Dec,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,2019
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Nov,2019
ISRO,Second Launch Pad,Satish Dhawan Space Centre,,India,Nov,2019
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Nov,2019
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Nov,2019
CASC,LC-3,Xichang Satellite Launch Center,,China,Nov,2019
ExPace,Site 95,Jiuquan Satellite Launch Center,,China,Nov,2019
CASC,LC-16,Taiyuan Satellite Launch Center,,China,Nov,2019
ExPace,Site 95,Jiuquan Satellite Launch Center,,China,Nov,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Nov,2019
CASC,LC-2,Xichang Satellite Launch Center,,China,Nov,2019
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Nov,2019
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Nov,2019
Exos,Vertical Launch Area,Spaceport America,,New Mexico,Oct,2019
CASC,LC-3,Xichang Satellite Launch Center,,China,Oct,2019
Rocket Lab,Rocket Lab LC-1A,M?hia Peninsula,,New Zealand,Oct,2019
Northrop,Stargazer,Cape Canaveral AFS,Florida,USA,Oct,2019
ILS,Site 200/39,Baikonur Cosmodrome,,Kazakhstan,Oct,2019
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Oct,2019
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Sep,2019
Roscosmos,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Sep,2019
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Sep,2019
MHI,LA-Y2,Tanegashima Space Center,,Japan,Sep,2019
CASC,LC-2,Xichang Satellite Launch Center,,China,Sep,2019
CASC,Site 95,Jiuquan Satellite Launch Center,,China,Sep,2019
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Sep,2019
ExPace,Site 95,Jiuquan Satellite Launch Center,,China,Aug,2019
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,Aug,2019
ISA,Imam Khomeini Spaceport,Semnan Space Center,,Iran,Aug,2019
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Aug,2019
Roscosmos,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Aug,2019
Rocket Lab,Rocket Lab LC-1A,M?hia Peninsula,,New Zealand,Aug,2019
CASC,LC-2,Xichang Satellite Launch Center,,China,Aug,2019
CASC,Site 95,Jiuquan Satellite Launch Center,,China,Aug,2019
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Aug,2019
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Aug,2019
Roscosmos,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Aug,2019
Roscosmos,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,2019
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,2019
CASC,LC-3,Xichang Satellite Launch Center,,China,Jul,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jul,2019
i-Space,Site 95,Jiuquan Satellite Launch Center,,China,Jul,2019
ISRO,Second Launch Pad,Satish Dhawan Space Centre,,India,Jul,2019
Roscosmos,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jul,2019
Roscosmos,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Jul,2019
Arianespace,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Jul,2019
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Jul,2019
Roscosmos,Site 1S,Vostochny Cosmodrome,,Russia,Jul,2019
Exos,Vertical Launch Area,Spaceport America,,New Mexico,Jun,2019
Rocket Lab,Rocket Lab LC-1A,M?hia Peninsula,,New Zealand,Jun,2019
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Jun,2019
CASC,LC-3,Xichang Satellite Launch Center,,China,Jun,2019
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Jun,2019
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Jun,2019
CASC,Tai Rui Barge,Yellow Sea,,,Jun,2019
Roscosmos,Site 200/39,Baikonur Cosmodrome,,Kazakhstan,May,2019
Roscosmos,Site 43/4,Plesetsk Cosmodrome,,Russia,May,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,May,2019
CASC,LC-9,Taiyuan Satellite Launch Center,,China,May,2019
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,May,2019
CASC,LC-2,Xichang Satellite Launch Center,,China,May,2019
Rocket Lab,Rocket Lab LC-1A,M?hia Peninsula,,New Zealand,May,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,May,2019
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,May,2019
CASC,Taiyuan Satellite Launch Center,China,,,Apr,2019
CASC,LC-3,Xichang Satellite Launch Center,,China,Apr,2019
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Apr,2019
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Apr,2019
Arianespace,ELS,Guiana Space Centre,French Guiana,France,Apr,2019
Roscosmos,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Apr,2019
ISRO,Second Launch Pad,Satish Dhawan Space Centre,,India,Apr,2019
CASC,LC-2,Xichang Satellite Launch Center,,China,Mar,2019
Rocket Lab,Rocket Lab LC-1A,M?hia Peninsula,,New Zealand,Mar,2019
OneSpace,Site 95,Jiuquan Satellite Launch Center,,China,Mar,2019
Arianespace,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Mar,2019
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Mar,2019
Roscosmos,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Mar,2019
CASC,LC-3,Xichang Satellite Launch Center,,China,Mar,2019
Exos,Vertical Launch Area,Spaceport America,,New Mexico,Mar,2019
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Mar,2019
Arianespace,ELS,Guiana Space Centre,French Guiana,France,Feb,2019
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Feb,2019
VKS RF,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Feb,2019
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Feb,2019
ISA,Imam Khomeini Spaceport,Semnan Space Center,,Iran,Feb,2019
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Jan,2019
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Jan,2019
CASC,Site 95,Jiuquan Satellite Launch Center,,China,Jan,2019
ULA,SLC-6,Vandenberg AFB,California,USA,Jan,2019
JAXA,Mu Pad,Uchinoura Space Center,,Japan,Jan,2019
ISA,Imam Khomeini Spaceport,Semnan Space Center,,Iran,Jan,2019
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Jan,2019
CASC,LC-2,Xichang Satellite Launch Center,,China,Jan,2019
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Dec,2018
Roscosmos,Site 1S,Vostochny Cosmodrome,,Russia,Dec,2018
CASC,LC-3,Xichang Satellite Launch Center,,China,Dec,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,2018
CASC,Site 95,Jiuquan Satellite Launch Center,,China,Dec,2018
VKS RF,Site 200/39,Baikonur Cosmodrome,,Kazakhstan,Dec,2018
Arianespace,ELS,Guiana Space Centre,French Guiana,France,Dec,2018
ISRO,Second Launch Pad,Satish Dhawan Space Centre,,India,Dec,2018
Rocket Lab,Rocket Lab LC-1A,M?hia Peninsula,,New Zealand,Dec,2018
CASC,LC-2,Xichang Satellite Launch Center,,China,Dec,2018
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Dec,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,2018
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Dec,2018
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Dec,2018
Roscosmos,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Dec,2018
VKS RF,Site 133/3,Plesetsk Cosmodrome,,Russia,Nov,2018
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Nov,2018
Arianespace,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Nov,2018
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Nov,2018
CASC,LC-3,Xichang Satellite Launch Center,,China,Nov,2018
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Nov,2018
Roscosmos,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Nov,2018
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Nov,2018
ISRO,Second Launch Pad,Satish Dhawan Space Centre,,India,Nov,2018
Rocket Lab,Rocket Lab LC-1A,M?hia Peninsula,,New Zealand,Nov,2018
Arianespace,ELS,Guiana Space Centre,French Guiana,France,Nov,2018
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Nov,2018
CASC,LC-2,Xichang Satellite Launch Center,,China,Nov,2018
MHI,LA-Y1,Tanegashima Space Center,,Japan,Oct,2018
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Oct,2018
Landspace,Site 95,Jiuquan Satellite Launch Center,,China,Oct,2018
Roscosmos,Site 43/4,Plesetsk Cosmodrome,,Russia,Oct,2018
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Oct,2018
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Oct,2018
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Oct,2018
CASC,LC-3,Xichang Satellite Launch Center,,China,Oct,2018
Roscosmos,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,2018
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Oct,2018
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Oct,2018
ExPace,Site 95,Jiuquan Satellite Launch Center,,China,Sep,2018
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Sep,2018
MHI,LA-Y2,Tanegashima Space Center,,Japan,Sep,2018
CASC,LC-2,Xichang Satellite Launch Center,,China,Sep,2018
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Sep,2018
ULA,SLC-2W,Vandenberg AFB,California,USA,Sep,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Sep,2018
CASC,Taiyuan Satellite Launch Center,China,,,Sep,2018
Exos,Vertical Launch Area,Spaceport America,,New Mexico,Aug,2018
CASC,LC-3,Xichang Satellite Launch Center,,China,Aug,2018
Arianespace,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Aug,2018
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Aug,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Aug,2018
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Jul,2018
CASC,LC-3,Xichang Satellite Launch Center,,China,Jul,2018
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Jul,2018
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Jul,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jul,2018
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Jul,2018
Roscosmos,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,2018
CASC,LC-2,Xichang Satellite Launch Center,,China,Jul,2018
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Jul,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,2018
CASC,LC-3,Xichang Satellite Launch Center,,China,Jun,2018
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Jun,2018
MHI,LA-Y1,Tanegashima Space Center,,Japan,Jun,2018
Roscosmos,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jun,2018
CASC,LC-2,Xichang Satellite Launch Center,,China,Jun,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jun,2018
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Jun,2018
SpaceX,SLC-4E,Vandenberg AFB,California,USA,May,2018
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,May,2018
CASC,LC-3,Xichang Satellite Launch Center,,China,May,2018
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,May,2018
CASC,LC-9,Taiyuan Satellite Launch Center,,China,May,2018
ULA,SLC-3E,Vandenberg AFB,California,USA,May,2018
CASC,LC-2,Xichang Satellite Launch Center,,China,May,2018
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Apr,2018
CASC,Site 95,Jiuquan Satellite Launch Center,,China,Apr,2018
Eurockot,Site 133/3,Plesetsk Cosmodrome,,Russia,Apr,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,2018
VKS RF,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Apr,2018
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,2018
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Apr,2018
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Apr,2018
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Apr,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Apr,2018
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Mar,2018
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Mar,2018
CASC,LC-2,Xichang Satellite Launch Center,,China,Mar,2018
Roscosmos,Site 43/4,Plesetsk Cosmodrome,,Russia,Mar,2018
ISRO,Second Launch Pad,Satish Dhawan Space Centre,,India,Mar,2018
Roscosmos,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Mar,2018
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Mar,2018
Arianespace,ELS,Guiana Space Centre,French Guiana,France,Mar,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Mar,2018
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Mar,2018
MHI,LA-Y1,Tanegashima Space Center,,Japan,Feb,2018
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Feb,2018
Roscosmos,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Feb,2018
CASC,LC-2,Xichang Satellite Launch Center,,China,Feb,2018
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Feb,2018
JAXA,Uchinoura Space Center,Japan,,,Feb,2018
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Feb,2018
Roscosmos,Site 1S,Vostochny Cosmodrome,,Russia,Feb,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jan,2018
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Jan,2018
CASC,LC-3,Xichang Satellite Launch Center,,China,Jan,2018
Rocket Lab,Rocket Lab LC-1A,M?hia Peninsula,,New Zealand,Jan,2018
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jan,2018
CASC,Site 95,Jiuquan Satellite Launch Center,,China,Jan,2018
JAXA,Mu Pad,Uchinoura Space Center,,Japan,Jan,2018
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Jan,2018
ULA,SLC-6,Vandenberg AFB,California,USA,Jan,2018
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Jan,2018
CASC,LC-2,Xichang Satellite Launch Center,,China,Jan,2018
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Jan,2018
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Jan,2018
Land Launch,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,Dec,2017
CASC,LC-3,Xichang Satellite Launch Center,,China,Dec,2017
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Dec,2017
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Dec,2017
MHI,LA-Y1,Tanegashima Space Center,,Japan,Dec,2017
Roscosmos,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Dec,2017
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Dec,2017
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Dec,2017
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Dec,2017
CASC,LC-2,Xichang Satellite Launch Center,,China,Dec,2017
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Dec,2017
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Dec,2017
Roscosmos,Site 1S,Vostochny Cosmodrome,,Russia,Nov,2017
CASC,LC-3,Xichang Satellite Launch Center,,China,Nov,2017
CASC,LC-16,Taiyuan Satellite Launch Center,,China,Nov,2017
ULA,SLC-2W,Vandenberg AFB,California,USA,Nov,2017
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Nov,2017
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Nov,2017
Arianespace,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Nov,2017
CASC,LC-2,Xichang Satellite Launch Center,,China,Nov,2017
Northrop,SLC-576E,Vandenberg AFB,California,USA,Oct,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Oct,2017
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Oct,2017
Roscosmos,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Oct,2017
Eurockot,Site 133/3,Plesetsk Cosmodrome,,Russia,Oct,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Oct,2017
MHI,LA-Y1,Tanegashima Space Center,,Japan,Oct,2017
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Oct,2017
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Oct,2017
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Sep,2017
CASC,LC-3,Xichang Satellite Launch Center,,China,Sep,2017
VKS RF,Site 200/39,Baikonur Cosmodrome,,Kazakhstan,Sep,2017
ULA,SLC-3E,Vandenberg AFB,California,USA,Sep,2017
ILS,Site 200/39,Baikonur Cosmodrome,,Kazakhstan,Sep,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Sep,2017
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Aug,2017
Northrop,SLC-46,Cape Canaveral AFS,Florida,USA,Aug,2017
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Aug,2017
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Aug,2017
MHI,LA-Y1,Tanegashima Space Center,,Japan,Aug,2017
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,2017
VKS RF,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Aug,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Aug,2017
Roscosmos,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Aug,2017
Arianespace,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Aug,2017
Roscosmos,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Jul,2017
ISA,Imam Khomeini Spaceport,Semnan Space Center,,Iran,Jul,2017
Roscosmos,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Jul,2017
CASC,LC-101,Wenchang Satellite Launch Center,,China,Jul,2017
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Jun,2017
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Jun,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Jun,2017
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,Jun,2017
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Jun,2017
CASC,LC-2,Xichang Satellite Launch Center,,China,Jun,2017
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Jun,2017
Roscosmos,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jun,2017
ILS,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Jun,2017
ISRO,Second Launch Pad,Satish Dhawan Space Centre,,India,Jun,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Jun,2017
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Jun,2017
MHI,LA-Y1,Tanegashima Space Center,,Japan,Jun,2017
VKS RF,Site 43/4,Plesetsk Cosmodrome,,Russia,May,2017
Rocket Lab,Rocket Lab LC-1A,M?hia Peninsula,,New Zealand,May,2017
Arianespace,ELS,Guiana Space Centre,French Guiana,France,May,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,May,2017
ISRO,Second Launch Pad,Satish Dhawan Space Centre,,India,May,2017
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,May,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,May,2017
CASC,LC-201,Wenchang Satellite Launch Center,,China,Apr,2017
Roscosmos,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Apr,2017
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Apr,2017
CASC,LC-2,Xichang Satellite Launch Center,,China,Apr,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Mar,2017
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Mar,2017
MHI,LA-Y1,Tanegashima Space Center,,Japan,Mar,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Mar,2017
Arianespace,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Mar,2017
CASIC,Site 95,Jiuquan Satellite Launch Center,,China,Mar,2017
ULA,SLC-3E,Vandenberg AFB,California,USA,Mar,2017
Roscosmos,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Feb,2017
SpaceX,LC-39A,Kennedy Space Center,Florida,USA,Feb,2017
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Feb,2017
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Feb,2017
Arianespace,ELS,Guiana Space Centre,French Guiana,France,Jan,2017
MHI,LA-Y1,Tanegashima Space Center,,Japan,Jan,2017
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Jan,2017
JAXA,Uchinoura Space Center,Japan,,,Jan,2017
SpaceX,SLC-4E,Vandenberg AFB,California,USA,Jan,2017
ExPace,Site 95,Jiuquan Satellite Launch Center,,China,Jan,2017
CASC,LC-2,Xichang Satellite Launch Center,,China,Jan,2017
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Dec,2016
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Dec,2016
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Dec,2016
JAXA,Mu Pad,Uchinoura Space Center,,Japan,Dec,2016
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Dec,2016
Northrop,Stargazer,Cape Canaveral AFS,Florida,USA,Dec,2016
CASC,LC-3,Xichang Satellite Launch Center,,China,Dec,2016
MHI,LA-Y2,Tanegashima Space Center,,Japan,Dec,2016
ULA,SLC-37B,Cape Canaveral AFS,Florida,USA,Dec,2016
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Dec,2016
Arianespace,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Dec,2016
Roscosmos,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Dec,2016
CASC,LC-2,Xichang Satellite Launch Center,,China,Nov,2016
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Nov,2016
Roscosmos,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Nov,2016
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Nov,2016
CASC,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,Nov,2016
ULA,SLC-3E,Vandenberg AFB,California,USA,Nov,2016
CASC,Site 95,Jiuquan Satellite Launch Center,,China,Nov,2016
CASC,LC-101,Wenchang Satellite Launch Center,,China,Nov,2016
MHI,LA-Y1,Tanegashima Space Center,,Japan,Nov,2016
Roscosmos,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Oct,2016
Northrop,LP-0A,Wallops Flight Facility,Virginia,USA,Oct,2016
CASC,Site 901 (SLS-1),Jiuquan Satellite Launch Center,,China,Oct,2016
Blue Origin,Blue Origin Launch Site,West Texas,Texas,USA,Oct,2016
Arianespace,ELA-3,Guiana Space Centre,French Guiana,France,Oct,2016
ISRO,First Launch Pad,Satish Dhawan Space Centre,,India,Sep,2016
Arianespace,ELV-1 (SLV),Guiana Space Centre,French Guiana,France,Sep,2016
CASC,Site 901 (SLS-1),Jiuquan Satellite Launch Center,,China,Sep,2016
IAI,Pad 1,Palmachim Airbase,,Israel,Sep,2016
ULA,SLC-41,Cape Canaveral AFS,Florida,USA,Sep,2016
ISRO,Second Launch Pad,Satish Dhawan Space Centre,,India,Sep,2016
SpaceX,SLC-40,Cape Canaveral AFS,Florida,USA,Sep,2016
CASC,LC-9,Taiyuan Satellite Launch Center,,China,Aug,2016
